,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,52.12,54.0,50.96,51.71,51.39,52.84,52.73,56.05,55.61,36.93,44.43,52.66,52.91
Expenses,47.6,49.15,46.39,46.47,46.71,47.95,48.26,50.64,49.68,31.82,39.94,48.26,48.44
Operating Profit,4.52,4.85,4.57,5.24,4.68,4.89,4.47,5.41,5.93,5.11,4.49,4.4,4.47
OPM %,8.67,8.98,8.97,10.13,9.11,9.25,8.48,9.65,10.66,13.84,10.11,8.36,8.45
Other Income,0.02,0.02,0.04,0.1,0.02,0.01,0.05,0.02,0.09,0.09,0.04,0.13,0.08
Interest,1.43,1.7,1.31,1.61,1.65,1.77,1.51,1.89,2.31,2.12,1.93,1.77,1.91
Depreciation,0.59,0.58,0.59,0.83,0.68,0.59,0.6,0.69,1.55,1.55,1.53,1.3,1.27
Profit before tax,2.52,2.59,2.71,2.9,2.37,2.54,2.41,2.85,2.16,1.53,1.07,1.46,1.37
Tax %,40.08,39.38,33.95,34.14,34.18,32.68,36.1,29.12,39.81,37.25,42.06,39.73,
Net Profit,1.51,1.57,1.79,1.92,1.56,1.72,1.54,2.02,1.3,0.96,0.63,0.89,0.95
EPS in Rs,4.14,4.3,4.91,5.26,4.28,4.71,4.22,5.54,3.56,2.63,1.73,2.44,2.60
