,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.04,0.04,0.04,0.04,28.66,43.73,328.17,93.58,180.06,91.49,98.80
Expenses,0.04,0.04,0.04,0.04,28.48,43.43,327.93,93.26,179.04,90.7,98.17
Operating Profit,0.00,0.00,0.00,0.00,0.18,0.3,0.24,0.32,1.02,0.79,0.63
OPM %,0.00,0.00,0.00,0.00,0.63,0.69,0.07,0.34,0.57,0.86,0.64
Other Income,0.00,0.00,0.00,0.00,0.0,0.0,0.61,0.24,0.14,0.15,0.22
Interest,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.06,0.28,0.35,0.31
Depreciation,0.00,0.00,0.00,0.00,0.05,0.06,0.1,0.08,0.15,0.1,0.09
Profit before tax,0.00,0.00,0.00,0.00,0.13,0.24,0.75,0.42,0.73,0.49,0.45
Tax %,,,,,30.77,29.17,24.0,16.67,28.77,28.57,
Net Profit,0.00,0.00,0.00,0.00,0.08,0.18,0.57,0.34,0.52,0.35,0.38
EPS in Rs,0.00,0.00,0.00,0.00,0.02,0.04,0.11,0.07,0.1,0.07,0.07
