,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.01,0.01,5.49,5.49,5.49,10.07,10.07,19.08,19.08
Reserves,0.0,0.0,0.0,0.0,7.37,7.5,8.07,3.83,4.24,5.45,6.11
Borrowings,0.0,0.0,0.0,0.01,0.11,0.15,0.7000000000000001,5.88,8.15,6.22,3.16
Other Liabilities,0.0,0.0,0.0,6.0,0.13,1.47,1.03,17.48,27.06,18.31,37.91
Total Liabilities,0.01,0.01,0.01,6.02,13.1,14.61,15.29,37.26,49.52,49.06,66.26
Fixed Assets,0.0,0.0,0.0,0.56,0.71,0.61,0.51,2.24,2.13,2.04,2.09
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.01,0.01,0.01,5.46,12.39,14.0,14.78,35.02,47.39,47.02,64.17
Total Assets,0.01,0.01,0.01,6.02,13.1,14.61,15.29,37.26,49.52,49.06,66.26
