,2023-09-01
Depreciation,0.23
EPS in Rs,0.46
Expenses,7.55
Interest,0.04
Net Profit,0.98
OPM %,16.57
Operating Profit,1.5
Other Income,0.02
Profit before tax,1.25
Sales,9.05
Tax %,21.6
