,2022-03-01,2023-03-01
Sales,6.55,14.08
Expenses,5.45,8.88
Operating Profit,1.1,5.2
OPM %,16.79,36.93
Other Income,0.0,0.4
Interest,0.02,0.05
Depreciation,0.17,0.23
Profit before tax,0.91,5.32
Tax %,0.0,19.74
Net Profit,0.91,4.28
EPS in Rs,733.87,2.33
