,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2227,2643,2643,2953,2845,2845,2945,2953,4940,5370,5370,5370,5370.0
Reserves,2181,2766,2730,2144,1902,1223,-447,-3711,-4510,-5995,-8032,-9903,-11085.0
Preference Capital,0,0,0,0,0,0,0,0,578,605,580,377,
Borrowings,1992,8331,10679,12216,13552,14702,14633,13871,11932,11651,10967,10641,10986.0
Other Liabilities,4670,1597,1374,1372,2225,2420,4238,6328,6733,7590,9353,11264,12083.0
Total Liabilities,11070,15336,17426,18684,20525,21191,21370,19441,19095,18615,17658,17372,17353.0
Fixed Assets,205,209,4675,8795,9268,10793,15011,14592,14410,13995,13381,13051,13048.0
CWIP,7035,11136,9120,6674,6659,6339,2283,2354,1584,1574,1142,1110,1100.0
Investments,244,20,20,20,0,70,10,193,275,0,4,8,0.0
Other Assets,3587,3971,3610,3195,4598,3988,4066,2301,2826,3046,3131,3203,3206.0
Total Assets,11070,15336,17426,18684,20525,21191,21370,19441,19095,18615,17658,17372,17353.0
