,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,34.03,35.63,35.96,29.41,17.67,23.55,23.3,26.3,28.04,28.57,37.08,60.11
Expenses,32.5,34.86,35.05,28.14,17.48,23.02,25.05,25.35,27.43,27.88,35.05,57.0
Operating Profit,1.53,0.77,0.91,1.27,0.19,0.53,-1.75,0.95,0.61,0.69,2.03,3.11
OPM %,4.5,2.16,2.53,4.32,1.08,2.25,-7.51,3.61,2.18,2.42,5.47,5.17
Other Income,0.1,0.02,0.15,-0.23,1.89,0.05,0.08,0.01,0.03,0.09,0.07,0.01
Interest,0.02,0.01,0.05,0.09,0.04,0.07,0.27,0.25,0.21,0.09,0.11,0.12
Depreciation,0.56,0.59,0.66,0.74,0.37,0.35,0.29,0.25,0.17,0.16,0.2,0.25
Profit before tax,1.05,0.19,0.35,0.21,1.67,0.16,-2.23,0.46,0.26,0.53,1.79,2.75
Tax %,34.29,-15.79,31.43,33.33,12.57,-75.0,-1.35,-2.17,3.85,60.38,26.26,28.36
Net Profit,0.69,0.22,0.24,0.15,1.46,0.29,-2.25,0.47,0.25,0.2,1.33,1.97
EPS in Rs,0.66,0.21,0.23,0.14,1.39,0.28,-2.14,0.45,0.24,0.19,1.27,1.87
