,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.56,0.4,0.15,3.5,3.35,4.0,0.01,1.0,1.02,0.72,0.02,0.98,1.03
Expenses,0.25,0.22,0.26,0.55,0.66,1.63,0.58,0.39,0.3,0.51,0.42,0.59,0.81
Operating Profit,0.31,0.18,-0.11,2.95,2.69,2.37,-0.57,0.61,0.72,0.21,-0.4,0.39,0.22
OPM %,55.36,45.0,-73.33,84.29,80.3,59.25,-5700.0,61.0,70.59,29.17,-2000.0,39.8,21.36
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.0,0.0,0.3,0.0,0.0,0.88,0.24,0.22,0.21,0.2,0.22,0.18,0.18
Profit before tax,0.31,0.18,-0.41,2.95,2.69,1.49,-0.81,0.39,0.51,0.01,-0.62,0.21,0.04
Tax %,41.94,27.78,-9.76,0.0,0.0,34.23,-154.32,0.0,49.02,0.0,27.42,0.0,0.0
Net Profit,0.18,0.14,-0.44,2.95,2.69,0.98,-2.07,0.39,0.26,0.0,-0.45,0.21,0.04
EPS in Rs,0.12,0.09,-0.28,1.91,1.74,0.63,-1.34,0.25,0.17,0.0,-0.29,0.14,0.03
