,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,10,10,10,14,14,14,14,14
Reserves,0,0,391,414,446,522,544,584,625,646
Borrowings,0,0,462,519,539,641,632,637,583,214
Other Liabilities,0,0,247,204,391,367,240,113,187,98
Total Liabilities,0,0,1111,1147,1386,1544,1430,1348,1409,971
Fixed Assets,0,0,649,653,657,670,691,807,790,775
CWIP,0,0,1,2,2,7,15,1,2,7
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,0,0,461,492,727,867,724,540,617,189
Total Assets,0,0,1111,1147,1386,1544,1430,1348,1409,971
