,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0,681.0,717.0,739.0,916.0,952.0,995.0,953.0,1098
Expenses,0.0,0,520.0,654.0,638.0,761.0,837.0,870.0,822.0,914
Operating Profit,0.0,-0,160.0,64.0,101.0,155.0,115.0,125.0,131.0,185
OPM %,,,24.0,9.0,14.0,17.0,12.0,13.0,14.0,17
Other Income,0.0,0,2.0,8.0,6.0,19.0,2.0,3.0,2.0,2
Interest,0.0,0,41.0,43.0,35.0,48.0,55.0,40.0,30.0,32
Depreciation,0.0,0,20.0,19.0,18.0,18.0,19.0,21.0,25.0,25
Profit before tax,0.0,-0,102.0,10.0,54.0,108.0,42.0,66.0,77.0,129
Tax %,,0,43.0,-145.0,36.0,23.0,36.0,31.0,35.0,
Net Profit,0.0,-0,58.0,25.0,34.0,83.0,27.0,46.0,50.0,87
EPS in Rs,,,41.02,17.67,24.27,58.93,19.22,32.66,35.67,62.08
