,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,74.99,74.99,74.53,74.52,69.21,72.1,72.1,72.1,72.1
Public,25.01,25.01,25.47,25.48,30.79,27.9,27.9,27.9,27.9
No. of Shareholders,303.0,295.0,274.0,286.0,276.0,280.0,283.0,278.0,284.0
