,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08
Reserves,-0.04,0.0,0.08,0.19,0.37,0.46,0.67,0.66,0.75,0.26
Borrowings,0.0,0.0,0.0,0.0,0.0,0.12,0.1,0.07,0.05,0.0
Other Liabilities,0.01,0.0,0.0,0.54,0.96,3.75,7.97,11.54,2.66,3.46
Total Liabilities,5.05,5.08,5.16,5.8100000000000005,6.41,9.41,13.82,17.35,8.54,8.8
Fixed Assets,0.0,0.0,0.0,0.0,0.06,0.18,0.12,0.08,0.01,0.03
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.0,1.5,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5
Other Assets,4.05,3.58,5.16,5.8100000000000005,6.35,9.23,12.2,15.77,7.03,7.27
Total Assets,5.05,5.08,5.16,5.8100000000000005,6.41,9.41,13.82,17.35,8.54,8.8
