,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.36,0.00,0.54,2.02,4.57,10.08,10.35,3.77,1.55
Expenses,0.18,0.34,0.14,0.61,1.96,4.48,9.74,10.16,3.54,1.55
Operating Profit,-0.18,0.02,-0.14,-0.07,0.06,0.09,0.34,0.19,0.23,0.0
OPM %,,5.56,,-12.96,2.97,1.97,3.37,1.84,6.1,
Other Income,0.22,0.06,0.24,0.23,0.22,0.12,0.01,0.0,0.01,0.02
Interest,0.00,0.0,0.00,0.0,0.01,0.01,0.02,0.01,0.04,0.01
Depreciation,0.00,0.0,0.00,0.0,0.02,0.04,0.07,0.11,0.08,0.03
Profit before tax,0.04,0.08,0.10,0.16,0.25,0.16,0.26,0.07,0.12,-0.02
Tax %,0.00,50.0,30.00,25.0,32.0,37.5,19.23,100.0,25.0,
Net Profit,0.04,0.05,0.07,0.12,0.17,0.09,0.21,0.0,0.08,-0.02
EPS in Rs,,0.1,0.14,0.24,0.33,0.18,0.41,0.0,0.16,-0.03
