,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,0.00,,425.83,0.00,0.00,0.00,0.00,0.00
Inventory Days,,,,0.00,0.00,0.00,0.00,0.00,0.00
Days Payable,,,,,,,,,
Cash Conversion Cycle,,0.00,,425.83,0.00,0.00,0.00,0.00,0.00
Working Capital Days,,30.42,,94.63,135.52,-2.40,-23.54,38.79,123.93
ROCE %,,1.58,1.95,3.07,4.85,3.06,4.87,1.37,2.74
