,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.61,11.36,11.31,12.84,11.8,13.83,15.43,17.54,13.67,12.0,18.77,20.24,20.18
Expenses,10.31,8.74,9.35,10.61,9.96,11.72,13.23,14.76,12.73,10.36,15.15,17.23,17.97
Operating Profit,3.3,2.62,1.96,2.23,1.84,2.11,2.2,2.78,0.94,1.64,3.62,3.01,2.21
OPM %,24.25,23.06,17.33,17.37,15.59,15.26,14.26,15.85,6.88,13.67,19.29,14.87,10.95
Other Income,-0.82,0.08,0.04,0.13,0.18,0.06,0.04,0.03,0.06,0.02,0.14,0.11,0.00
Interest,1.26,1.39,1.33,1.36,1.29,1.06,0.91,0.74,0.57,0.45,0.55,0.43,0.42
Depreciation,1.21,1.52,1.39,1.37,1.24,1.25,1.15,1.2,1.18,1.14,1.12,0.93,0.76
Profit before tax,0.01,-0.21,-0.72,-0.37,-0.51,-0.14,0.18,0.87,-0.75,0.07,2.09,1.76,1.03
Tax %,100.0,38.1,1.39,16.22,19.61,-50.0,116.67,29.89,58.67,-57.14,31.1,28.98,
Net Profit,0.0,-0.13,-0.72,-0.31,-0.4,-0.21,-0.03,0.61,-0.3,0.12,1.45,1.25,0.64
EPS in Rs,0.0,-0.87,-4.81,-2.07,-2.67,-1.4,-0.2,4.08,-2.0,0.8,9.69,8.35,4.28
