,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,0,1,0,0,0,0,0,0,0,0,0,0
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,0,1,0,0,0,0,0,0,0,0,0,0
Working Capital Days,-179,-164,-166,-166,-154,-161,-181,-177,-136,-178,-199,-195
ROCE %,67,34,27,26,13,19,21,29,30,12,-0,2
