,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Reserves,1.46,2.86,1.67,3.92,4.71,2.36,0.24,-2.65,
Preference Capital,0.0,0.0,3.35,2.65,2.65,2.65,2.65,,
Borrowings,0.8,4.01,6.57,10.3,9.18,9.42,3.07,3.86,
Other Liabilities,7.47,5.32,7.3,6.47,12.53,11.4,12.75,27.76,
Total Liabilities,10.73,13.19,16.54,21.69,27.42,24.18,17.06,29.97,
Fixed Assets,4.33,4.46,4.43,4.27,4.37,3.92,0.08,0.06,
CWIP,0.0,0.0,0.0,2.27,2.18,2.18,0.0,0.0,
Investments,0.78,0.14,0.14,0.05,0.0,0.3,0.3,0.30000000000000004,
Other Assets,5.62,8.59,11.97,15.1,20.87,17.78,16.68,29.61,
Total Assets,10.73,13.19,16.54,21.69,27.42,24.18,17.06,29.97,
