,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2022-03-01,2023-03-01
Equity Capital,74,81,83,88,90,90,90,90,90,90,90,90
Reserves,-5,38,-163,-142,-154,-207,-288,-356,-527,-560,-627,-638
Borrowings,520,466,486,492,480,442,565,523,525,522,536,536
Other Liabilities,142,207,181,189,190,218,157,172,166,192,214,216
Total Liabilities,731,791,588,628,606,542,524,428,254,244,212,203
Fixed Assets,296,273,242,220,205,193,183,173,163,153,124,115
CWIP,0,1,0,0,0,0,0,0,0,0,0,0
Investments,78,77,77,77,77,77,77,20,0,0,0,0
Other Assets,356,440,268,331,323,272,263,235,91,91,88,88
Total Assets,731,791,588,628,606,542,524,428,254,244,212,203
