,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2022-03-01,2023-03-01
Sales,730.0,1060.0,967.0,1129.0,1142.0,890.0,798.0,778.0,480.0,245.0,0,0
Expenses,698.0,912.0,1014.0,1023.0,1067.0,878.0,800.0,842.0,518.0,300.0,2,2
Operating Profit,32.0,148.0,-46.0,106.0,75.0,11.0,-2.0,-65.0,-37.0,-55.0,-2,-2
OPM %,4.0,14.0,-5.0,9.0,7.0,1.0,-0.0,-8.0,-8.0,-22.0,,
Other Income,50.0,4.0,-33.0,18.0,13.0,17.0,9.0,58.0,-110.0,51.0,0,0
Interest,69.0,80.0,85.0,77.0,81.0,79.0,77.0,51.0,10.0,7.0,0,0
Depreciation,35.0,34.0,33.0,26.0,18.0,12.0,11.0,11.0,11.0,10.0,9,9
Profit before tax,-22.0,38.0,-198.0,21.0,-12.0,-62.0,-81.0,-68.0,-168.0,-21.0,-11,-11
Tax %,-0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0,0
Net Profit,-22.0,38.0,-201.0,21.0,-12.0,-63.0,-81.0,-68.0,-168.0,-21.0,-11,-11
EPS in Rs,-3.03,4.61,-24.19,2.33,-1.32,-6.99,-9.01,-7.63,-18.68,-2.36,-1.28,-1.22
