,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,0.07,0.29,0.05,0.08,0.09,0.09,0.10,0.10,0.10,0.11,0.11,0.11,0.07
Operating Profit,-0.07,-0.29,-0.05,-0.08,-0.09,-0.09,-0.10,-0.10,-0.10,-0.11,-0.11,-0.11,-0.07
OPM %,,,,,,,,,,,,,
Other Income,0.00,0.00,0.00,0.00,0.00,0.00,-2.23,0.00,0.00,0.00,0.01,0.00,0.0
Interest,0.00,0.00,0.00,0.00,0.01,0.19,0.22,0.26,0.29,0.13,0.28,0.15,0.08
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Profit before tax,-0.07,-0.29,-0.05,-0.08,-0.10,-0.28,-2.55,-0.36,-0.39,-0.24,-0.38,-0.26,-0.15
Tax %,0.00,0.00,0.00,0.00,0.00,0.00,-0.78,0.00,0.00,0.00,0.00,0.00,
Net Profit,-0.07,-0.29,-0.05,-0.08,-0.10,-0.29,-2.57,-0.36,-0.39,-0.24,-0.38,-0.26,-0.15
EPS in Rs,-4.67,-19.33,-3.33,-5.33,-6.67,-19.33,-171.33,-24.00,-26.00,-16.00,-25.33,-17.33,-10.01
