,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,34.65,30.96,31.08,24.26,28.28,18.01,36.69,17.99,36.91,8.51,2.2,1.65,3.51
Expenses,34.48,30.93,31.06,23.88,27.95,17.65,36.05,18.48,36.13,7.96,2.03,1.7,3.24
Operating Profit,0.17,0.03,0.02,0.38,0.33,0.36,0.64,-0.49,0.78,0.55,0.17,-0.05,0.27
OPM %,0.49,0.1,0.06,1.57,1.17,2.0,1.74,-2.72,2.11,6.46,7.73,-3.03,7.69
Other Income,0.06,0.02,0.01,0.01,0.02,0.0,0.01,1.21,0.0,0.0,0.05,0.22,0.00
Interest,0.0,0.0,0.0,0.01,0.02,0.08,0.12,0.22,0.32,0.25,0.04,0.09,-1.35
Depreciation,0.0,0.0,0.0,0.36,0.3,0.25,0.19,0.14,0.11,0.08,0.07,0.06,0.05
Profit before tax,0.23,0.05,0.03,0.02,0.03,0.03,0.34,0.36,0.35,0.22,0.11,0.02,1.57
Tax %,0.0,2200.0,66.67,-1550.0,66.67,100.0,26.47,36.11,20.0,22.73,36.36,100.0,
Net Profit,0.23,-1.05,0.0,0.33,0.01,0.01,0.26,0.23,0.28,0.16,0.07,0.0,1.55
EPS in Rs,0.17,-0.77,0.0,0.24,0.01,0.01,0.19,0.17,0.21,0.12,0.05,0.0,1.14
