,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,20,20,35,35,35,35,35,35,35,35,35,35,35
Reserves,72,70,58,50,-5,-9,-9,13,4,5,5,21,24
Borrowings,43,50,55,62,61,62,58,31,30,24,24,22,21
Other Liabilities,64,77,48,45,32,31,18,17,16,5,2,3,4
Total Liabilities,199,216,196,191,123,120,100,95,84,69,66,81,83
Fixed Assets,54,56,56,44,4,6,5,5,4,4,4,4,3
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,3,15,15,15,53,50,50,49,41,41,39,55,55
Other Assets,142,145,124,132,67,64,45,41,39,24,23,22,24
Total Assets,199,216,196,191,123,120,100,95,84,69,66,81,83
