,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.65,31.15,43.42,44.81,19.09,12.93,19.88,10.46,54.16,51.72,49.88,67.32,57.04
Expenses,4.37,30.09,42.32,44.0,20.3,12.8,21.47,19.91,57.06,50.01,54.98,59.99,50.37
Operating Profit,0.28,1.06,1.1,0.81,-1.21,0.13,-1.59,-9.45,-2.9,1.71,-5.1,7.33,6.67
OPM %,6.02,3.4,2.53,1.81,-6.34,1.01,-8.0,-90.34,-5.35,3.31,-10.22,10.89,11.69
Other Income,0.18,0.21,0.21,0.82,2.25,1.93,3.34,3.25,1.59,12.88,18.68,8.54,10.26
Interest,0.01,-0.0,-0.0,-0.0,0.12,0.07,0.12,1.28,3.03,6.48,4.57,5.61,7.52
Depreciation,0.01,0.01,0.02,0.07,0.25,0.29,0.29,0.31,0.33,0.32,0.32,0.2,0.12
Profit before tax,0.44,1.26,1.29,1.56,0.67,1.7,1.34,-7.79,-4.67,7.79,8.69,10.06,9.29
Tax %,31.82,32.54,32.56,35.26,37.31,34.71,21.64,22.85,-42.61,4.62,14.84,25.55,
Net Profit,0.3,0.84,0.87,1.02,0.42,1.11,1.05,-6.01,-6.67,7.44,7.4,7.51,6.74
EPS in Rs,0.2,0.56,0.58,0.67,0.28,0.73,0.69,-3.97,-4.41,4.92,4.89,4.96,4.46
