,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,15.13,15.13,15.13,15.13,15.13,15.13,15.13,15.13,15.13,15.13,15.13,15.13,15.13
Reserves,17.61,21.46,22.33,23.35,23.77,23.29,24.31,14.39,1.34,10.14,17.12,20.34,25.79
Borrowings,0.3,0.53,1.2,1.07,0.58,0.53,2.97,25.92,20.24,26.53,31.59,43.42,43.19
Other Liabilities,3.47,0.54,0.52,246.52,79.03,50.49,54.0,14.5,32.91,79.65,114.4,31.98,20.16
Total Liabilities,36.51,37.66,39.18,286.07,118.51,89.44,96.41,69.94,69.62,131.45,178.24,110.87,104.27
Fixed Assets,0.56,0.55,0.5700000000000001,1.17,2.11,1.83,1.54,1.79,1.6,1.65,1.35,1.04,1.05
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,1.25,1.25,1.25,1.25,1.25
Investments,15.4,10.4,12.35,12.36,11.36,0.76,23.09,23.56,23.29,63.0,85.87,49.99,46.99
Other Assets,20.55,26.71,26.26,272.54,105.04,86.85,70.53,43.34,43.48,65.55,89.77,58.59,54.98
Total Assets,36.51,37.66,39.18,286.07,118.51,89.44,96.41,69.94,69.62,131.45,178.24,110.87,104.27
