,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.28,6.71,7.15,10.11,9.03,10.54,13.82,10.39,11.47,14.91,20.66,18.22,21.08
Expenses,10.76,6.91,5.39,5.85,5.77,10.13,8.65,8.95,12.48,12.87,14.25,15.0,12.13
Operating Profit,1.52,-0.2,1.76,4.26,3.26,0.41,5.17,1.44,-1.01,2.04,6.41,3.22,8.95
OPM %,12.38,-2.98,24.62,42.14,36.1,3.89,37.41,13.86,-8.81,13.68,31.03,17.67,42.46
Other Income,0.47,1.94,-0.64,2.63,0.59,6.55,0.81,2.13,5.77,4.56,3.87,3.13,0.04
Interest,0.0,0.01,0.14,0.29,0.11,0.81,1.58,1.53,1.52,1.53,1.53,0.89,0.15
Depreciation,0.53,0.71,0.67,0.69,0.6,0.53,0.43,0.23,0.3,0.19,0.2,0.37,0.36
Profit before tax,1.46,1.02,0.31,5.91,3.14,5.62,3.97,1.81,2.94,4.88,8.55,5.09,8.48
Tax %,92.47,28.43,3.23,15.4,12.1,5.16,44.08,2.76,28.91,17.01,18.6,31.04,
Net Profit,0.11,0.73,0.3,4.99,2.76,5.34,2.22,1.77,2.09,4.06,6.96,3.5,6.23
EPS in Rs,0.02,0.16,0.07,1.12,0.62,1.2,0.5,0.4,0.47,0.91,1.57,0.79,1.40
