,Mar 2023,TTM
Sales,105.0,145
Expenses,93.0,128
Operating Profit,12.0,17
OPM %,11.0,11
Other Income,-2.0,-2
Interest,3.0,4
Depreciation,4.0,4
Profit before tax,3.0,7
Tax %,52.0,
Net Profit,2.0,4
EPS in Rs,1.34,3.40
