,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77
Reserves,-1.15,-1.12,-1.08,-0.95,-0.77,-1.04,-1.45,-0.7000000000000001,-0.32,-0.11,0.7000000000000001
Borrowings,0.0,0.0,0.0,0.0,0.01,0.15,0.31,0.04,0.06,0.01,0.01
Other Liabilities,0.64,4.66,4.86,5.1,0.92,1.06,0.85,0.87,1.17,1.54,1.83
Total Liabilities,55.26,59.31,59.55,59.92,55.93,55.94,55.48,55.98,56.68,57.21,58.31
Fixed Assets,24.64,24.47,24.48,24.5,24.49,24.49,24.48,24.51,24.52,24.54,24.55
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,20.36,18.05,17.99,4.58,4.83,5.15,4.68,5.27,8.6,6.93,7.27
Other Assets,10.26,16.79,17.08,30.84,26.61,26.3,26.32,26.2,23.56,25.74,26.49
Total Assets,55.26,59.31,59.55,59.92,55.93,55.94,55.48,55.98,56.68,57.21,58.31
