,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.18,2.02,2.13,3.14,3.54,4.26,4.75,5.35,6.04,6.83,7.79
Expenses,2.2,2.27,2.37,3.36,3.71,4.86,5.84,6.03,6.82,7.89,8.71
Operating Profit,-0.02,-0.25,-0.24,-0.22,-0.17,-0.6,-1.09,-0.68,-0.78,-1.06,-0.92
OPM %,-0.92,-12.38,-11.27,-7.01,-4.8,-14.08,-22.95,-12.71,-12.91,-15.52,-11.81
Other Income,0.1,0.37,0.31,0.36,0.39,0.65,1.23,1.13,1.18,1.43,1.81
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.04,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.04,0.06,0.05
Profit before tax,0.04,0.07,0.03,0.1,0.18,0.02,0.11,0.43,0.36,0.31,0.84
Tax %,0.0,-14.29,0.0,10.0,0.0,50.0,36.36,2.33,25.0,32.26,
Net Profit,0.04,0.07,0.03,0.1,0.18,0.02,0.07,0.41,0.27,0.21,0.73
EPS in Rs,0.01,0.01,0.01,0.02,0.03,0.0,0.01,0.07,0.05,0.04,0.12
