,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,39.0,43.0,49.0,45.0,45.0,52.0,58.0,61.0,77.0,80.0,96.0
Expenses,27.0,28.0,32.0,27.0,27.0,32.0,37.0,40.0,53.0,56.0,68.0
Operating Profit,12.0,14.0,17.0,18.0,18.0,21.0,22.0,21.0,24.0,24.0,28.0
OPM %,32.0,34.0,34.0,40.0,41.0,39.0,37.0,35.0,31.0,30.0,29.0
Other Income,-1.0,1.0,0.0,-0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0
Interest,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0
Depreciation,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0
Profit before tax,9.0,12.0,12.0,13.0,14.0,16.0,19.0,18.0,20.0,20.0,23.0
Tax %,17.0,17.0,16.0,19.0,21.0,16.0,12.0,16.0,22.0,17.0,19.0
Net Profit,7.0,9.0,10.0,10.0,11.0,14.0,16.0,15.0,16.0,16.0,19.0
EPS in Rs,1.06,1.36,1.52,1.48,1.54,1.78,2.13,1.96,2.03,2.0,2.35
