,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,102.0,116.0,132.0,183.0,249.0,314
Expenses,69.0,85.0,92.0,116.0,161.0,217
Operating Profit,32.0,32.0,40.0,67.0,87.0,97
OPM %,32.0,27.0,30.0,37.0,35.0,31
Other Income,-2.0,0.0,1.0,1.0,5.0,5
Interest,0.0,1.0,1.0,5.0,3.0,3
Depreciation,8.0,9.0,9.0,13.0,16.0,18
Profit before tax,22.0,23.0,31.0,50.0,73.0,81
Tax %,19.0,20.0,19.0,18.0,17.0,
Net Profit,17.0,18.0,25.0,41.0,61.0,66
EPS in Rs,2.49,2.37,2.49,5.9,7.9,8.34
