,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,33,-12,9,69
Cash from Investing Activity,-6,11,1,-4
Cash from Financing Activity,-37,4,-26,-59
Net Cash Flow,-9,4,-15,7
