,2022-09-01,2023-06-01,2023-09-01
Sales,556.0,509.0,619.0
Expenses,516.0,472.0,577.0
Operating Profit,39.0,37.0,42.0
OPM %,7.0,7.0,7.0
Other Income,1.0,1.0,1.0
Interest,11.0,11.0,11.0
Depreciation,2.0,2.0,2.0
Profit before tax,27.0,26.0,30.0
Tax %,25.0,26.0,26.0
Net Profit,20.0,19.0,22.0
EPS in Rs,5.22,4.92,4.54
