,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,44.39,56.47,57.24,56.32,50.03,49.99,56.47,56.05,56.47,55.17,79.98,64.64,61.76
Expenses,41.36,52.92,53.99,52.45,46.86,46.58,53.65,52.19,52.95,51.84,75.59,60.57,58.07
Operating Profit,3.03,3.55,3.25,3.87,3.17,3.41,2.82,3.86,3.52,3.33,4.39,4.07,3.69
OPM %,6.83,6.29,5.68,6.87,6.34,6.82,4.99,6.89,6.23,6.04,5.49,6.3,5.97
Other Income,0.2,0.04,0.2,-0.03,0.48,0.02,0.9,0.46,0.64,0.86,0.4,0.55,0.85
Interest,1.87,1.66,1.35,1.71,1.58,1.32,1.44,1.84,1.66,1.41,1.59,1.63,1.49
Depreciation,1.03,1.05,1.1,0.67,0.67,0.65,0.68,0.69,0.85,0.88,1.01,1.04,1.01
Profit before tax,0.33,0.88,1.0,1.46,1.4,1.46,1.6,1.79,1.65,1.9,2.19,1.95,2.04
Tax %,39.39,42.05,29.0,27.4,8.57,33.56,25.62,30.17,25.45,25.26,25.57,25.13,
Net Profit,0.2,0.5,0.71,1.06,1.28,0.97,1.18,1.25,1.23,1.42,1.63,1.46,1.49
EPS in Rs,0.5,1.24,1.76,2.62,3.17,2.4,2.92,3.09,3.04,3.51,4.03,3.61,3.69
