,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,393.0,438.0,507.0,565.0,555.0,579.0,559.0,573.0,594.0,607.0,618.0,653.0,716.0
Expenses,47.0,61.0,114.0,47.0,50.0,46.0,68.0,61.0,48.0,55.0,66.0,64.0,141.0
Operating Profit,346.0,377.0,393.0,518.0,505.0,533.0,491.0,512.0,547.0,552.0,551.0,589.0,576.0
OPM %,88.0,86.0,78.0,92.0,91.0,92.0,88.0,89.0,92.0,91.0,89.0,90.0,80.0
Other Income,1.0,1.0,7.0,0.0,6.0,2.0,11.0,14.0,2.0,0.0,7.0,1.0,4.0
Interest,158.0,174.0,206.0,273.0,267.0,262.0,249.0,257.0,250.0,251.0,253.0,285.0,321.0
Depreciation,102.0,108.0,120.0,161.0,178.0,177.0,149.0,180.0,169.0,174.0,181.0,191.0,222.0
Profit before tax,86.0,96.0,74.0,84.0,66.0,96.0,104.0,88.0,129.0,127.0,124.0,115.0,37.0
Tax %,1.0,1.0,7.0,3.0,-4.0,2.0,4.0,6.0,3.0,6.0,-10.0,7.0,-6.0
Net Profit,86.0,95.0,69.0,81.0,68.0,94.0,100.0,83.0,126.0,120.0,137.0,107.0,39.0
EPS in Rs,1.22,1.35,0.97,1.22,1.06,1.32,1.38,1.16,1.75,1.68,1.93,1.49,0.49
