,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,433,580,1125,1680,2081,2036
Cash from Investing Activity,-4624,-230,-6091,-5897,-1517,-2118
Cash from Financing Activity,4358,-357,5214,6415,-1983,-788
Net Cash Flow,167,-7,248,2198,-1419,-871
