,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2838,2838,5315,5315,6590,6590,5315.0
Reserves,25,-161,-266,-632,-1172,-1633,
Borrowings,2396,2612,6388,14576,13339,14505,
Other Liabilities,119,58,356,777,800,750,
Total Liabilities,5379,5346,11792,20035,19557,20212,
Fixed Assets,5026,4983,10816,16390,16838,17841,
CWIP,0,0,0,10,4,78,
Investments,0,8,0,0,145,446,
Other Assets,352,356,976,3636,2570,1847,
Total Assets,5379,5346,11792,20035,19557,20212,
