,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,3.05,6.34,13.11,3.97,6.4,10.84,25.2,15.1,4.96,11.23,33.07,9.72,6.94
Expenses,1.99,5.72,15.76,3.25,5.27,8.67,24.52,13.06,3.35,8.39,29.72,7.67,4.69
Operating Profit,1.06,0.62,-2.65,0.72,1.13,2.17,0.68,2.04,1.61,2.84,3.35,2.05,2.25
OPM %,34.75,9.78,-20.21,18.14,17.66,20.02,2.7,13.51,32.46,25.29,10.13,21.09,32.42
Other Income,0.04,0.08,3.62,0.0,0.0,0.02,0.25,0.0,0.01,0.03,0.6,0.15,0.09
Interest,0.79,0.74,-0.46,0.04,0.03,0.05,0.94,0.07,0.05,0.05,0.56,0.11,0.12
Depreciation,0.07,0.07,1.95,0.78,0.79,0.8,0.72,0.77,0.78,0.77,2.41,0.78,0.81
Profit before tax,0.24,-0.11,-0.52,-0.1,0.31,1.34,-0.73,1.2,0.79,2.05,0.98,1.31,1.41
Tax %,4.17,0.0,3.85,0.0,3.23,0.0,-31.51,0.0,0.0,0.0,1.02,0.0,0.0
Net Profit,0.23,-0.11,-0.5,-0.1,0.31,1.34,-0.96,1.2,0.78,2.05,0.97,1.31,1.41
EPS in Rs,0.37,-0.18,-0.8,-0.16,0.5,2.14,-1.54,1.92,1.25,3.28,1.55,2.1,2.26
