,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
Reserves,6.19,5.66,6.09,6.38,6.8,68.06,35.61,64.47,62.07,61.03,63.61
Borrowings,0.16,1.15,1.27,1.71,2.22,10.52,14.17,11.8,9.61,3.72,4.16
Other Liabilities,8.2,6.28,13.61,18.04,16.53,19.01,17.11,15.29,6.49,6.84,6.2
Total Liabilities,20.8,19.34,27.22,32.38,31.8,103.84,73.14,97.81,84.42,77.84,80.22
Fixed Assets,1.36,1.28,1.37,1.26,1.11,41.77,39.25,36.54,33.7,32.04,31.02
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,7.8,5.49,7.17,9.58,8.82,35.97,4.36,35.02,33.35,25.56,25.56
Other Assets,11.64,12.57,18.68,21.54,21.87,26.1,29.53,26.25,17.37,20.24,23.64
Total Assets,20.8,19.34,27.22,32.38,31.8,103.84,73.14,97.81,84.42,77.84,80.22
