,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14.84,36.67,34.0,41.17,48.91,43.69,23.88,24.08,46.39,44.3,60.96
Expenses,14.51,36.86,33.6,40.52,48.32,41.33,21.3,24.74,41.7,38.11,50.47
Operating Profit,0.33,-0.19,0.4,0.65,0.59,2.36,2.58,-0.66,4.69,6.19,10.49
OPM %,2.22,-0.52,1.18,1.58,1.21,5.4,10.8,-2.74,10.11,13.97,17.21
Other Income,0.0,0.54,0.3,0.09,0.21,0.11,0.16,3.75,0.07,0.63,0.87
Interest,0.02,0.07,0.17,0.18,0.21,0.41,0.96,1.03,1.05,0.61,0.84
Depreciation,0.06,0.08,0.15,0.15,0.15,2.28,3.05,2.86,3.09,3.18,4.77
Profit before tax,0.25,0.2,0.38,0.41,0.44,-0.22,-1.27,-0.8,0.62,3.03,5.75
Tax %,8.0,30.0,28.95,29.27,18.18,-40.91,0.79,0.0,4.84,0.33,
Net Profit,0.23,0.14,0.28,0.3,0.36,-0.31,-1.26,-0.79,0.6,3.03,5.74
EPS in Rs,0.37,0.22,0.45,0.48,0.58,-0.5,-2.02,-1.26,0.96,4.85,9.19
