,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,612.0,699.0,1038.0,1566.0,2131.0,2676.0,2937
Expenses,450.0,499.0,795.0,1125.0,1571.0,1980.0,2138
Operating Profit,162.0,200.0,243.0,441.0,560.0,696.0,799
OPM %,26.0,29.0,23.0,28.0,26.0,26.0,27
Other Income,3.0,76.0,237.0,-12.0,32.0,8.0,22
Interest,19.0,18.0,26.0,33.0,18.0,17.0,21
Depreciation,23.0,31.0,67.0,97.0,142.0,178.0,200
Profit before tax,122.0,228.0,387.0,300.0,432.0,509.0,601
Tax %,37.0,24.0,7.0,28.0,16.0,22.0,
Net Profit,78.0,173.0,360.0,215.0,362.0,395.0,463
EPS in Rs,27.93,62.4,76.42,3.76,6.19,6.75,7.91
