,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,149,155,253,143,445,533
Cash from Investing Activity,-138,204,-954,-156,-352,-562
Cash from Financing Activity,-13,-346,767,-67,-64,19
Net Cash Flow,-2,13,66,-80,29,-10
