,2023-03-01,2023-06-01,2023-09-01
Sales,154.5,200.1,163.28
Expenses,150.25,191.67,151.83
Operating Profit,4.25,8.43,11.45
OPM %,2.75,4.21,7.01
Other Income,0.17,0.29,2.92
Interest,0.83,0.86,0.43
Depreciation,0.48,0.83,0.83
Profit before tax,3.11,7.03,13.11
Tax %,30.55,27.88,27.92
Net Profit,2.16,5.08,9.45
EPS in Rs,1.37,2.64,4.46
