,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,30.59,22.0,16.22,16.73,17.97,15.68,17.69,17.56,19.47,18.43,18.16,13.39,12.14
Expenses,29.84,21.28,15.9,15.52,14.77,14.53,16.48,17.42,20.0,19.12,18.56,13.82,12.51
Operating Profit,0.75,0.72,0.32,1.21,3.2,1.15,1.21,0.14,-0.53,-0.69,-0.4,-0.43,-0.37
OPM %,2.45,3.27,1.97,7.23,17.81,7.33,6.84,0.8,-2.72,-3.74,-2.2,-3.21,-3.05
Other Income,1.07,0.66,0.61,0.73,0.41,0.35,0.28,0.95,0.36,6.93,1.1,1.11,1.48
Interest,0.85,0.64,0.59,0.57,0.37,0.22,0.2,0.22,0.26,0.15,0.14,0.14,0.13
Depreciation,0.41,0.35,0.25,0.5,0.52,0.53,0.47,0.48,0.5,0.42,0.41,0.32,0.32
Profit before tax,0.56,0.39,0.09,0.87,2.72,0.75,0.82,0.39,-0.93,5.67,0.15,0.22,0.66
Tax %,12.5,0.0,77.78,8.05,44.49,-8.0,17.07,20.51,3.23,-2.29,33.33,0.0,
Net Profit,0.49,0.39,0.02,0.8,1.5,0.81,0.68,0.3,-0.89,5.8,0.1,0.22,0.45
EPS in Rs,0.89,0.71,0.04,1.45,2.71,1.46,1.23,0.54,-1.61,10.49,0.18,0.4,0.80
