,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,17.16,15.91,18.13,21.47,24.71,22.28,15.89,21.58,16.04,23.45,33.05,18.85,27.60
Expenses,15.63,16.52,16.66,20.22,23.24,21.1,16.48,19.69,16.95,20.86,30.63,18.49,21.10
Operating Profit,1.53,-0.61,1.47,1.25,1.47,1.18,-0.59,1.89,-0.91,2.59,2.42,0.36,6.50
OPM %,8.92,-3.83,8.11,5.82,5.95,5.3,-3.71,8.76,-5.67,11.04,7.32,1.91,23.55
Other Income,0.31,0.23,0.12,0.26,0.32,0.45,0.22,0.13,0.64,0.09,0.16,1.54,1.53
Interest,0.5,0.56,0.63,0.54,0.48,0.51,0.42,0.57,0.75,0.88,0.96,1.12,1.67
Depreciation,0.37,0.46,0.4,0.46,0.41,0.37,0.36,0.33,0.28,0.24,0.21,0.2,0.18
Profit before tax,0.97,-1.4,0.56,0.51,0.9,0.75,-1.15,1.12,-1.3,1.56,1.41,0.58,6.18
Tax %,25.77,47.86,17.86,31.37,18.89,49.33,-2.61,19.64,-0.77,-10.9,30.5,55.17,
Net Profit,0.58,-0.72,0.45,0.35,0.73,0.38,-1.18,0.91,-1.32,1.72,0.98,0.26,5.70
EPS in Rs,0.08,-0.14,0.05,0.04,0.07,0.07,-0.12,0.1,-0.14,0.18,0.1,0.03,0.60
