,2020-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,8.03,9.53,24.76,6.51,9.89,10.54,23.61,8.62,9.51
Expenses,6.83,12.36,18.2,6.0,7.4,9.42,19.49,6.81,7.59
Operating Profit,1.2,-2.83,6.56,0.51,2.49,1.12,4.12,1.81,1.92
OPM %,14.94,-29.7,26.49,7.83,25.18,10.63,17.45,21.0,20.19
Other Income,0.07,0.05,0.04,0.04,0.03,0.06,0.04,0.02,0.08
Interest,0.36,0.27,0.24,0.25,0.23,0.35,0.39,0.58,0.54
Depreciation,0.34,0.22,0.23,0.15,0.7,0.53,1.24,0.94,1.38
Profit before tax,0.57,-3.27,6.13,0.15,1.59,0.3,2.53,0.31,0.08
Tax %,26.32,-0.61,19.25,0.0,29.56,20.0,35.57,29.03,-275.0
Net Profit,0.42,-3.29,4.95,0.16,1.12,0.24,1.63,0.22,0.3
EPS in Rs,0.5,-3.92,4.57,0.15,1.03,0.22,1.51,0.2,0.28
