,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-2772,1852,1628,463,929,-1345
Cash from Investing Activity,1073,-2133,-3361,4128,-1128,786
Cash from Financing Activity,1263,-80,2290,-4836,251,580
Net Cash Flow,-437,-362,557,-245,52,21
