,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16,17,17,18,18,36,36
Reserves,1847,2894,2974,2810,3006,3086,3229
Borrowings,6966,6103,8838,5077,5808,6747,7901
Other Liabilities,737,749,1191,834,1903,1321,1377
Total Liabilities,9567,9763,13021,8739,10734,11191,12544
Fixed Assets,31,337,608,837,816,880,952
CWIP,22,173,1,2,0,39,0
Investments,1111,3053,6512,2513,4072,3609,4500
Other Assets,8403,6200,5899,5386,5846,6663,7092
Total Assets,9567,9763,13021,8739,10734,11191,12544
