,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1705,1578,1521.0,1654.0,2072.0,2059.0,2126
Expenses,652,589,698.0,715.0,915.0,767.0,855
Operating Profit,1053,990,823.0,939.0,1157.0,1292.0,1270
OPM %,62,63,54.0,57.0,56.0,63.0,60
Other Income,10,1,6.0,2.0,6.0,5.0,133
Interest,559,431,502.0,414.0,370.0,400.0,479
Depreciation,14,22,41.0,43.0,42.0,46.0,50
Profit before tax,490,538,286.0,485.0,751.0,850.0,874
Tax %,22,30,30.0,24.0,23.0,23.0,
Net Profit,380,375,201.0,369.0,578.0,658.0,696
EPS in Rs,,,5.77,10.5,16.28,18.48,19.55
