,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,16.06,18.78,29.13,30.94,28.26,34.77,28.62,39.61,30.74,49.71,42.11,53.33,60.69
Expenses,15.0,17.66,27.68,29.33,26.54,32.64,26.52,37.44,28.82,47.25,39.13,48.85,56.27
Operating Profit,1.06,1.12,1.45,1.61,1.72,2.13,2.1,2.17,1.92,2.46,2.98,4.48,4.42
OPM %,6.6,5.96,4.98,5.2,6.09,6.13,7.34,5.48,6.25,4.95,7.08,8.4,7.28
Other Income,0.01,0.02,0.03,0.05,0.05,0.05,0.07,0.07,0.07,0.07,0.1,0.12,0.12
Interest,0.6,0.66,0.87,0.89,0.92,1.17,1.24,1.21,1.24,1.56,1.84,2.97,3.04
Depreciation,0.15,0.15,0.21,0.3,0.38,0.4,0.41,0.43,0.41,0.42,0.72,1.23,1.48
Profit before tax,0.32,0.33,0.4,0.47,0.47,0.61,0.52,0.6,0.34,0.55,0.52,0.4,0.02
Tax %,31.25,30.3,30.0,29.79,31.91,31.15,9.62,26.67,29.41,25.45,26.92,25.0,
Net Profit,0.22,0.23,0.28,0.32,0.32,0.42,0.48,0.44,0.25,0.4,0.38,0.3,0.03
EPS in Rs,0.41,0.43,0.52,0.6,0.6,0.79,0.9,0.82,0.47,0.75,0.71,0.56,0.06
