,2023-09-01
Depreciation,0.36
EPS in Rs,-1.92
Expenses,7.3
Interest,0.35
Net Profit,-2.02
OPM %,-22.48
Operating Profit,-1.34
Other Income,0.03
Profit before tax,-2.02
Sales,5.96
Tax %,-0.5
