,2021-03-01,2022-03-01,2023-03-01
Sales,13.88,17.44,22.06
Expenses,11.58,13.27,12.93
Operating Profit,2.30,4.17,9.13
OPM %,16.57,23.91,41.39
Other Income,0.04,0.12,0.12
Interest,0.26,0.28,0.33
Depreciation,0.26,0.30,0.70
Profit before tax,1.82,3.71,8.22
Tax %,28.57,28.30,27.98
Net Profit,1.30,2.67,5.92
EPS in Rs,,,
