,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,15.61,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Expenses,15.08,2.3,0.51,0.19,19.20,0.16,16.19,0.09,0.09,0.07
Operating Profit,0.53,-2.29,-0.51,-0.19,-19.20,-0.16,-16.19,-0.09,-0.09,-0.07
OPM %,3.4,-22900.0,,,,,,,,
Other Income,0.03,0.0,0.00,-0.10,-0.27,0.00,0.00,0.03,0.04,0.02
Interest,0.89,1.79,1.00,1.40,1.40,1.40,1.40,1.40,1.40,1.40
Depreciation,0.01,0.12,0.00,0.04,0.05,0.04,0.04,0.03,0.03,0.03
Profit before tax,-0.34,-4.2,-1.51,-1.73,-20.92,-1.60,-17.63,-1.49,-1.48,-1.48
Tax %,26.47,0.48,0.00,0.00,-0.14,0.00,0.00,0.00,0.00,0.00
Net Profit,-0.25,-4.18,-1.51,-1.74,-20.95,-1.60,-17.63,-1.49,-1.48,-1.47
EPS in Rs,-0.25,-4.24,-1.53,-1.76,-21.23,-1.62,-17.87,-1.51,-1.50,-1.49
