,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,55.0,55.0,54.76,54.76,53.46,53.06
Public,45.0,45.0,45.24,45.24,46.54,46.94
No. of Shareholders,66.0,102.0,620.0,620.0,635.0,660.0
