,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,4,14
Reserves,8,12,19,14
Borrowings,22,21,25,24
Other Liabilities,20,24,23,20
Total Liabilities,50,58,71,72
Fixed Assets,7,10,9,10
CWIP,0,0,0,0
Investments,0,0,0,0
Other Assets,43,48,62,62
Total Assets,50,58,71,72
