,2021-03-01,2022-03-01,2023-03-01
Debtor Days,130.0,95,97
Inventory Days,9.0,83,112
Days Payable,93.0,135,87
Cash Conversion Cycle,45.0,43,123
Working Capital Days,96.0,100,131
ROCE %,,21,36
