,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.02,7.32,1.78,20.41,7.26,6.31,5.3,0.00,0.00,0.00,0.0
Expenses,1.10,7.55,2.01,20.69,7.3,6.06,6.23,0.38,0.22,0.20,0.25
Operating Profit,-0.08,-0.23,-0.23,-0.28,-0.04,0.25,-0.93,-0.38,-0.22,-0.20,-0.25
OPM %,-7.84,-3.14,-12.92,-1.37,-0.55,3.96,-17.55,,,,
Other Income,0.08,0.29,0.35,0.32,0.29,0.34,2.09,0.57,0.22,0.19,0.2
Interest,0.00,0.0,0.0,0.0,0.01,0.06,0.4,0.10,0.06,0.04,0.04
Depreciation,0.00,0.0,0.0,0.0,0.01,0.23,0.15,0.11,0.03,0.00,0.0
Profit before tax,0.00,0.06,0.12,0.04,0.23,0.3,0.61,-0.02,-0.09,-0.05,-0.09
Tax %,,33.33,33.33,25.0,26.09,26.67,26.23,0.00,-11.11,100.00,
Net Profit,0.00,0.04,0.08,0.02,0.17,0.23,0.45,-0.01,-0.10,-0.01,-0.07
EPS in Rs,0.00,0.06,0.12,0.03,0.26,0.36,0.7,-0.02,-0.15,-0.02,-0.12
