,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,30.04,99.33,81.03,15.5,53.73,48.27,53.21,51.47,64.9,46.16,361.21,151.03,68.17
Expenses,33.8,92.18,73.19,14.27,46.55,50.82,50.15,45.83,63.93,44.7,358.58,146.35,68.2
Operating Profit,-3.76,7.15,7.84,1.23,7.18,-2.55,3.06,5.64,0.97,1.46,2.63,4.68,-0.03
OPM %,-12.52,7.2,9.68,7.94,13.36,-5.28,5.75,10.96,1.49,3.16,0.73,3.1,-0.04
Other Income,0.22,-0.21,0.23,1.88,0.14,0.34,-0.17,0.52,0.18,0.14,0.61,0.25,0.16
Interest,1.39,1.84,0.07,0.98,1.07,0.44,0.14,0.77,0.42,1.45,-0.38,0.39,0.17
Depreciation,0.51,0.62,0.52,0.64,0.64,0.65,0.67,0.68,0.7,0.73,0.67,0.76,0.77
Profit before tax,-5.44,4.48,7.48,1.49,5.61,-3.3,2.08,4.71,0.03,-0.58,2.95,3.78,-0.81
Tax %,-11.76,-2.68,-4.01,26.17,27.81,-10.3,37.5,26.96,-33.33,25.86,11.86,28.31,25.93
Net Profit,0.12,14.7,18.39,21.11,21.57,2.52,25.89,16.95,7.69,-4.16,13.69,12.08,7.36
EPS in Rs,0.13,16.33,20.43,23.46,23.97,2.8,28.77,18.83,8.54,-4.62,15.21,13.42,8.18
