,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,11,12,13,13,15,15,15,15.0
Reserves,1073,1737,2172,2815,3053,2991,3013,1973,961,1019.0
Preference Capital,0,17,2,1,0,0,0,0,0,
Borrowings,1651,1600,1508,1193,2432,4255,3695,1625,1806,1442.0
Other Liabilities,1695,1886,2156,2782,3142,3644,4369,7375,1832,1872.0
Total Liabilities,4428,5233,5847,6802,8641,10904,11092,10989,4614,4349.0
Fixed Assets,2054,2390,2396,2804,3560,5283,5231,2046,2051,2064.0
CWIP,178,315,293,344,999,790,856,140,135,79.0
Investments,22,12,293,360,362,330,376,388,421,396.0
Other Assets,2174,2515,2867,3294,3720,4500,4629,8416,2007,1810.0
Total Assets,4428,5233,5847,6802,8641,10904,11092,10989,4614,4349.0
