,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10.46,9.63,8.27,9.73,9.44,5.73,11.48,11.53,10.58,6.47,7.72,12.83,22.72
Expenses,11.82,10.4,8.91,10.73,11.85,8.11,14.37,14.93,12.56,8.9,11.43,18.26,26.91
Operating Profit,-1.36,-0.77,-0.64,-1.0,-2.41,-2.38,-2.89,-3.4,-1.98,-2.43,-3.71,-5.43,-4.19
OPM %,-13.0,-8.0,-7.74,-10.28,-25.53,-41.54,-25.17,-29.49,-18.71,-37.56,-48.06,-42.32,-18.44
Other Income,2.34,2.14,1.73,3.88,6.89,9.74,9.69,5.64,6.86,2.62,4.81,9.77,11.32
Interest,0.03,0.02,0.02,0.02,0.1,0.08,0.04,0.04,0.03,0.04,0.35,0.01,0.02
Depreciation,0.69,0.76,0.71,0.76,0.52,0.54,0.39,0.41,0.5,0.48,0.38,0.44,0.48
Profit before tax,0.26,0.59,0.36,2.1,3.86,6.74,6.37,1.79,4.35,-0.33,0.37,3.89,6.63
Tax %,0.0,0.0,16.67,3.33,0.26,0.0,0.0,-15.08,0.46,0.0,0.0,15.68,
Net Profit,0.26,0.59,0.3,2.03,3.86,6.74,6.37,2.05,4.34,-0.32,0.37,3.28,5.67
EPS in Rs,0.28,0.63,0.32,2.17,4.12,7.2,6.8,2.19,4.63,-0.34,0.4,3.5,6.06
