,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,48,62,76,81,94,148,213,298,385,435,535,723,843
Borrowings,95,82,176,267,310,204,201,206,272,345,443,435,425
Other Liabilities,114,121,56,49,45,133,159,147,178,211,249,204,164
Total Liabilities,267,276,318,407,460,496,582,660,845,1001,1237,1372,1441
Fixed Assets,123,163,156,204,250,291,312,383,371,432,814,704,759
CWIP,38,6,33,45,23,10,30,56,215,318,81,138,110
Investments,7,11,11,7,7,3,3,3,3,4,7,7,7
Other Assets,99,95,117,151,180,192,237,218,256,248,335,524,566
Total Assets,267,276,318,407,460,496,582,660,845,1001,1237,1372,1441
