,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-121,-76,-106,-163,114,269,147,733,-112,-475,-1100
Cash from Investing Activity,-135,-44,-148,-968,-5,332,-264,-346,-49,-74,231
Cash from Financing Activity,219,120,958,501,19,-760,76,-385,282,486,824
Net Cash Flow,-37,0,704,-630,128,-159,-40,2,122,-62,-45
