,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,40,200,222,222,222,222,222,222,222,222,326,326.0
Reserves,256,228,1170,1665,1968,1782,1743,1464,1094,688,1410,1323.0
Preference Capital,0,0,0,0,0,0,0,0,0,918,0,
Borrowings,375,557,874,1457,1674,1062,1305,1121,1566,1719,2416,2726.0
Other Liabilities,279,495,930,1434,1291,1032,1471,2485,2582,3335,1930,2008.0
Total Liabilities,950,1480,3196,4778,5155,4098,4741,5292,5464,5965,6082,6382.0
Fixed Assets,157,174,203,527,765,985,973,1228,1191,1343,1619,1348.0
CWIP,4,25,49,43,112,20,66,33,230,148,123,210.0
Investments,0,45,0,63,253,0,91,94,33,33,1,3.0
Other Assets,789,1235,2944,4146,4024,3094,3611,3936,4010,4440,4340,4821.0
Total Assets,950,1480,3196,4778,5155,4098,4741,5292,5464,5965,6082,6382.0
