,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13,13,13,13,13,13,13,13,13,13,13
Reserves,38,37,39,274,275,265,262,273,271,267,260
Borrowings,6,30,27,95,83,72,53,46,26,36,41
Other Liabilities,91,94,125,220,262,271,240,258,265,266,296
Total Liabilities,148,174,205,602,634,621,568,590,576,582,610
Fixed Assets,31,40,38,363,351,347,345,332,320,311,341
CWIP,0,1,5,1,8,7,19,19,19,19,0
Investments,0,3,1,13,10,13,0,2,0,0,0
Other Assets,116,130,160,225,265,253,205,238,237,251,269
Total Assets,148,174,205,602,634,621,568,590,576,582,610
