,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,34.0,30,41,37,49,31,25,35,40,47
Inventory Days,135.0,145,114,93,116,138,154,143,118,127
Days Payable,105.0,91,98,90,136,131,168,157,134,132
Cash Conversion Cycle,64.0,84,57,39,29,37,11,21,24,42
Working Capital Days,-2.0,45,27,55,54,26,-88,-88,-40,-29
ROCE %,,6,22,12,9,5,1,5,6,7
